Cucumbers (fresh),1/3 medium cucumber,,10.00,0.10,0.10,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,4.00,10.00,2.00,2.00,2.87,9.12,19.41,9.90,0.11
Eggplant (fresh),1/5 eggplant,,20.00,0.08,0.20,0.00,0.00,0.00,0.00,4.80,2.50,2.90,0.80,0.00,3.00,0.00,1.00,4.37,5.26,13.37,6.07,0.23
Escarole & endive (fresh),1 cup chopped,,8.00,0.05,0.10,0.00,0.00,0.00,11.00,1.70,1.60,0.10,0.60,20.00,4.00,2.00,2.00,1.43,1.76,4.05,2.94,0.07
Garlic (fresh),1 clove,,4.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.10,0.00,0.20,0.00,1.00,0.00,0.00,0.01,0.40,0.68,0.37,0.00
Head lettuce (fresh),1.5 cups chopped,,10.00,0.09,0.10,0.00,0.00,0.00,10.00,2.00,1.00,2.00,1.00,6.00,6.00,2.00,2.00,2.50,3.05,7.05,5.11,0.12
Kale (fresh),2 cups chopped or 1/2 cup cooked,,18.00,0.07,0.30,0.10,0.00,0.00,15.00,3.70,1.30,0.80,1.20,177.00,44.00,4.50,3.00,1.08,4.71,9.88,4.31,0.05
Legumes (fresh),1/2 cups cooked,,115.00,0.09,0.40,0.10,0.00,0.00,2.00,20.00,8.00,1.80,9.00,0.00,2.50,1.50,18.00,0.73,19.24,199.05,295.42,0.06
Lima beans (fresh),1/2 cup cooked,,105.00,0.09,0.30,0.10,0.00,0.00,14.00,20.10,4.60,1.40,5.80,0.00,0.00,1.50,12.50,0.77,8.81,30.25,22.46,0.07
Mushrooms (fresh),5 medium mushrooms,,20.00,0.08,0.30,0.00,0.00,0.00,15.00,3.00,1.00,0.00,3.00,0.00,2.00,0.00,2.00,0.39,18.24,18.24,18.24,0.30
Mustard greens (fresh),1.5 cups chopped,,23.00,0.08,0.40,0.00,0.00,0.00,17.00,3.90,2.70,1.10,2.40,49.50,97.50,9.00,6.00,1.39,4.52,9.79,5.25,0.06
